brand_name,category,subcategory,website,founded_year,headquarters,description,shopify_confirmed,source,employee_count,founder_1,founder_2,founder_3,linkedin_1,linkedin_2,linkedin_3,chat_widget,chat_vendor,has_contact_info,contacted,segment_id
Popsmith,Food & Beverage,Popcorn,popsmith.com,2021,USA,Gourmet popcorn maker and kernels,Yes,D2C directory,10,Tal Moore,David Stickland,,https://www.linkedin.com/in/talmoore/,https://www.linkedin.com/in/davestickland/,,No,,,true,bs001
Figlia,Food & Beverage,Non-Alcoholic,figlia.co,2021,USA,Non-alcoholic apertivo,Yes,D2C directory,,Lily Geiger,,,https://www.linkedin.com/in/lily-geiger-1735b011b/,,,,,,,bs001
Almave,Food & Beverage,Non-Alcoholic,almave.com,2023,USA,Non-alcoholic agave spirits,Yes,D2C directory,,,,,,,,,,,,bs001
Nello,Food & Beverage,Wellness Drinks,drinknello.com,2021,USA,Functional wellness drink mixes,Yes,D2C directory,,,,,,,,,,,,bs001
Graza,Food & Beverage,Oils,graza.co,2022,USA,Squeeze bottle olive oil,Yes,D2C directory,,Andrew Benin,Allen Dushi,,https://www.linkedin.com/search/results/all/?keywords=andrew%20benin%20graza,https://www.linkedin.com/search/results/all/?keywords=allen%20dushi%20graza,,No,,,,bs001
Namesake,Beauty,Skincare,namesakebeauty.com,2022,USA,Dermatologist-daughter skincare,Yes,Industry list,,,,,,,,,,,,bs001
Laundry Sauce,Home,Laundry,laundrysauce.com,2021,USA,Premium laundry pods,Yes,D2C directory,,,,,,,,,,,,bs001
Threaded,Home,Bedding,threadedhome.com,2022,USA,600-thread sateen sheets,Yes,Industry list,,,,,,,,,,,,bs001
Ciriaco,Accessories,Bags,ciriaconyc.com,2021,Bronx NY,Young designer handbags,Yes,Industry list,,,,,,,,,,,,bs001
Made by Nacho,Pet,Cat Food,madebynacho.com,2021,USA,Bobby Flay cat food,Yes,D2C directory,,,,,,,,,,,,bs001
Marin Instruments,Accessories,Watches,marininstruments.com,2021,New Mexico,Modern vintage inspired,Yes,Industry list,,,,,,,,,,,,bs001
HYTE,Electronics,PC,hyte.com,2022,USA,Custom PC accessories,Yes,Industry list,,,,,,,,,,,,bs001
Vacation Inc,Beauty,Sunscreen,vacation.inc,2021,USA,Nostalgic sunscreen,Yes,D2C directory,,,,,,,,,,,,bs001
Henry Meds,Wellness,Telehealth,henrymeds.com,2021,USA,GLP-1 telehealth,Yes,D2C directory,,,,,,,,,,,,bs001
August,Wellness,Period,itsaugust.co,2021,USA,Sustainable period care,Yes,D2C directory,,,,,,,,,,,,bs001
August,Wellness,Intimacy,itsaugust.co,2021,USA,Sustainable intimacy,Yes,D2C directory,,,,,,,,,,,,bs001
Everyday Dose,Wellness,Mushroom,everydaydose.com,2021,USA,Mushroom latte,Yes,D2C directory,,,,,,,,,,,,bs001
