brand_name,category,subcategory,website,founded_year,headquarters,description,shopify_confirmed,source,employee_count,founder_1,founder_2,founder_3,linkedin_1,linkedin_2,linkedin_3
Stellar Eats,Food & Beverage,Baking Mixes,stellareats.com,2020,USA,Healthy guilt-free baked food for dietary sensitivities,Yes,Shopify case study,,Stella Vanstone,,,https://www.linkedin.com/in/stella-vanstone-b0713570/,,
Fishwife,Food & Beverage,Tinned Fish,fishwife.com,2020,Los Angeles CA,Female-founded tinned fish with bold packaging,Yes,Shopify features,10,Becca Millstein,,,https://www.linkedin.com/in/beccamillstein/,,
Bittermilk,Food & Beverage,Cocktail Mixers,bittermilk.com,2013,Charleston SC,Hand-crafted cocktail mixers by mixologists,Yes,D2C directory,15,Joe Raya,MariElena Raya,,https://www.linkedin.com/search/results/all/?keywords=joe%20raya%20bittermilk,https://www.linkedin.com/search/results/all/?keywords=marielena%20raya%20bittermilk,
United Sodas,Food & Beverage,Beverages,unitedsodas.com,2019,USA,Naturally sweetened low-calorie sodas,Yes,D2C directory,,,,,,,
Haus,Food & Beverage,Aperitifs,drink.haus,2019,USA,Natural aperitif beverages with subscription,Yes,D2C directory,,,,,,,
Pipcorn,Food & Beverage,Snacks,pipsnacks.com,2012,New York NY,Heirloom corn snacks reinvented,Yes,Shopify features,,Jeff Martin,Jennifer Martin,Teresa Tsou,https://www.linkedin.com/search/results/all/?keywords=jeff%20martin%20pipcorn,https://www.linkedin.com/in/jennifer-martin-pipcorn/,https://www.linkedin.com/search/results/all/?keywords=teresa%20tsou%20pipcorn
Diaspora Co,Food & Beverage,Spices,diasporaco.com,2017,Oakland CA,Single-origin spices from 150 farms in India,Yes,D2C directory,,Sana Javeri Kadri,,,https://www.linkedin.com/in/sana-javeri-kadri-b8307058/,,
Pulp Pantry,Food & Beverage,Snacks,pulppantry.com,2017,Los Angeles CA,Chips made from juice pulp reducing food waste,Yes,Shark Tank,,,,,,,
Craize,Food & Beverage,Crackers,craize.com,2015,Miami FL,Venezuelan-inspired corn crackers,Yes,D2C directory,,,,,,,
Ritual Chocolate,Food & Beverage,Chocolate,ritualchocolate.com,2010,Park City UT,Small-batch bean-to-bar chocolate,Yes,Industry list,15,Robbie Stout,Anna Davies,,https://www.linkedin.com/search/results/all/?keywords=robbie%20stout%20ritual%20chocolate,https://www.linkedin.com/search/results/all/?keywords=anna%20davies%20ritual%20chocolate,
Dandelion Chocolate,Food & Beverage,Chocolate,dandelionchocolate.com,2010,San Francisco CA,Bean-to-bar chocolate just cocoa and sugar,Yes,Industry list,42,Todd Masonis,Cameron Ring,,https://www.linkedin.com/search/results/all/?keywords=todd%20masonis%20dandelion,https://www.linkedin.com/search/results/all/?keywords=cameron%20ring%20dandelion,
Askinosie Chocolate,Food & Beverage,Chocolate,askinosie.com,2007,Springfield MO,Small-batch bean-to-bar micro-factory,Yes,Industry list,18,Shawn Askinosie,,,https://www.linkedin.com/in/shawnaskinosie/,,
Fruition Chocolate,Food & Beverage,Chocolate,fruitionchocolateworks.com,2011,Shokan NY,Award-winning single origin bean to bar,Yes,Industry list,,Bryan Graham,Dahlia Graham,,https://www.linkedin.com/in/bryan-graham-3379a032/,https://www.linkedin.com/in/dahliagraham/,
Xocolatl,Food & Beverage,Chocolate,xocolatlchocolate.com,2014,Atlanta GA,Gourmet bean-to-bar chocolate,Yes,Industry list,14,Matt Weyandt,Elaine Read,,https://www.linkedin.com/in/matt-weyandt-608a12258/,https://www.linkedin.com/in/elaine-read-991a381b6/,
indi chocolate,Food & Beverage,Chocolate,indichocolate.com,2012,Seattle WA,Small batch Pike Place Market chocolate,Yes,Industry list,9,Erin Andrews,,,https://www.linkedin.com/in/erin-andrews-b5554312,,
Chomps,Food & Beverage,Snacks,chomps.com,2012,USA,Grass-fed beef and turkey sticks,Yes,D2C directory,,Pete Maldonado,Rashid Ali,,https://www.linkedin.com/in/petermaldonado/,https://www.linkedin.com/search/results/all/?keywords=rashid%20ali%20chomps,
Kate's Real Food,Food & Beverage,Energy Bars,katesrealfood.com,2009,USA,Organic gluten-free energy bars,Yes,D2C directory,30,Kate Schade,,,https://www.linkedin.com/search/results/all/?keywords=kate%20schade%20kates%20real%20food,,
Momofuku,Food & Beverage,Pantry Goods,momofuku.com,2018,New York NY,Restaurant-grade pantry goods by David Chang,Yes,D2C directory,,David Chang,,,https://www.linkedin.com/in/davidchang/,,
Gobble,Food & Beverage,Meal Kits,gobble.com,2012,Palo Alto CA,15-min meal kits delivered,Yes,D2C directory,,,,,,,
Purple Carrot,Food & Beverage,Meal Kits,purplecarrot.com,2014,USA,Plant-based meal kits,Yes,D2C directory,,,,,,,
Outstanding Foods,Food & Beverage,Plant-Based,outstandingfoods.com,2018,USA,Plant-based snacks,Yes,D2C directory,,,,,,,
Allplants,Food & Beverage,Meal Delivery,allplants.com,2016,USA,Plant-based frozen meals,Yes,D2C directory,,,,,,,
BelliWelli,Food & Beverage,Snacks,belliwelli.com,2020,USA,Gut-friendly snack bars,Yes,D2C directory,,Katie Wilson,Nick Wilson,,https://www.linkedin.com/in/katie-wilson2/,https://www.linkedin.com/in/nicholaswilson20/,
Blue Apron,Food & Beverage,Meal Kits,blueapron.com,2012,New York NY,Meal kit delivery service,Yes,D2C directory,,,,,,,
David's Cookies,Food & Beverage,Baked Goods,davidscookies.com,1979,USA,Gourmet cookies and brownies,Yes,D2C directory,,,,,,,
Eleat Cereal,Food & Beverage,Cereal,eleatcereal.com,2020,USA,High-protein cereal,Yes,D2C directory,7,Hywel Rose,Hugh Hamilton-Green,,https://www.linkedin.com/search/results/all/?keywords=hywel%20rose%20eleat,https://www.linkedin.com/in/hugh-hamilton-green/,
Flings,Food & Beverage,Cocktails,drinkflings.com,2019,USA,Ready-to-drink cocktails,Yes,D2C directory,,,,,,,
Hello Fresh,Food & Beverage,Meal Kits,hellofresh.com,2011,USA,Meal kit delivery,Yes,D2C directory,,,,,,,
Home Chef,Food & Beverage,Meal Kits,homechef.com,2013,Chicago IL,Meal kit delivery,Yes,D2C directory,,,,,,,
Muddy Bites,Food & Beverage,Snacks,muddybites.com,2018,USA,Chocolate-filled waffle cone bites,Yes,D2C directory,18,Jarod Steffes,Tyler Merrick,,https://www.linkedin.com/search/results/all/?keywords=jarod%20steffes%20muddy%20bites,https://www.linkedin.com/search/results/all/?keywords=tyler%20merrick%20muddy%20bites,
Popsmith,Food & Beverage,Popcorn,popsmith.com,2021,USA,Gourmet popcorn maker and kernels,Yes,D2C directory,10,Tal Moore,David Stickland,,https://www.linkedin.com/in/talmoore/,https://www.linkedin.com/in/davestickland/,
Splendid Spoon,Food & Beverage,Meal Delivery,splendidspoon.com,2013,New York NY,Plant-based smoothies and soups,Yes,D2C directory,,,,,,,
Thrive Market,Food & Beverage,Grocery,thrivemarket.com,2014,Los Angeles CA,Online organic grocery membership,Yes,D2C directory,,,,,,,
Upright Oats,Food & Beverage,Oatmeal,uprightoats.com,2020,USA,Premium oatmeal cups,Yes,D2C directory,,,,,,,
White Leaf Provisions,Food & Beverage,Baby Food,whiteleafprovisions.com,2016,USA,Biodynamic baby food,Yes,D2C directory,,,,,,,
Dirty Lemon,Food & Beverage,Beverages,dirtylemon.com,2015,New York NY,Functional beverages via text ordering,Yes,D2C directory,,Zak Normandin,Sommer Carroll,,https://www.linkedin.com/in/zaknormandin/,https://www.linkedin.com/search/results/all/?keywords=sommer%20carroll%20dirty%20lemon,
Ghia,Food & Beverage,Non-Alcoholic,drinkghia.com,2019,Los Angeles CA,Spirits-free aperitif,Yes,D2C directory,,Melanie Masarin,,,https://www.linkedin.com/in/melaniemasarin/,,
Figlia,Food & Beverage,Non-Alcoholic,figlia.co,2021,USA,Non-alcoholic apertivo,Yes,D2C directory,,Lily Geiger,,,https://www.linkedin.com/in/lily-geiger-1735b011b/,,
Almave,Food & Beverage,Non-Alcoholic,almave.com,2023,USA,Non-alcoholic agave spirits,Yes,D2C directory,,,,,,,
Surely,Food & Beverage,Non-Alcoholic,drinksurelywine.com,2020,USA,Non-alcoholic wine,Yes,D2C directory,,Justin Mares,,,https://www.linkedin.com/in/justinmares/,,
Nello,Food & Beverage,Wellness Drinks,drinknello.com,2021,USA,Functional wellness drink mixes,Yes,D2C directory,,,,,,,
MatchaBar,Food & Beverage,Matcha,matchabarnyc.com,2014,New York NY,Matcha products and cafes,Yes,D2C directory,,Graham Fortgang,Max Fortgang,,https://www.linkedin.com/in/graham-fortgang-9033a6aa/,https://www.linkedin.com/in/max-fortgang-01534b110/,
Firebelly Tea,Food & Beverage,Tea,firebellytea.com,2021,USA,Premium loose leaf teas,Yes,Shopify case study,,David Segal,Harley Finkelstein,,https://www.linkedin.com/search/results/all/?keywords=david%20segal%20firebelly,https://www.linkedin.com/in/harleyf/,
Spirit Tea,Food & Beverage,Tea,spirittea.co,2015,Chicago IL,Farm-direct specialty teas,Yes,Industry site,,Taylor Cowan,Jordan Scherer,,https://www.linkedin.com/in/taylor-cowan-a9531b3b/,https://www.linkedin.com/in/jordan-scherer-5981541b5/,
Vadham Teas,Food & Beverage,Tea,vahdam.com,2015,USA,Premium Indian teas,Yes,D2C directory,,,,,,,
Wunderground,Food & Beverage,Coffee,wunderground.com,2019,USA,Mushroom coffee blends,Yes,D2C directory,,,,,,,
Rosso Caffe,Food & Beverage,Coffee,rossocaffe.com,2014,USA,Premium Nespresso-compatible capsules,Yes,D2C directory,,,,,,,
AeroPress,Food & Beverage,Coffee Equipment,aeropress.com,2005,Palo Alto CA,Innovative coffee brewing,Yes,D2C directory,,,,,,,
Equator Coffees,Food & Beverage,Coffee,equatorcoffees.com,1995,San Rafael CA,Sustainable specialty coffee,Yes,D2C directory,,,,,,,
Rounton Coffee,Food & Beverage,Coffee,rountoncoffee.co.uk,2012,UK,Specialty coffee roaster,Yes,D2C directory,,,,,,,
